Sector_Rank,Ticker,Name,Exchange,Major_Sector,Detailed_Sector,Total_Score,Trend_Score,MeanReversion_Score,Volume_Score,Volatility_Score,Momentum_Score,Confidence,Trend_Strength,MeanReversion_Strength,Volume_Confirmation,Signal_Type,Current_Price,Timestamp,Analysis_Date
124,DLHC,DLH Holdings Corp.,XNAS,Industrials,SERVICES-HELP SUPPLY SERVICES,0.3688851976346967,0.15283110103940517,0.0,0.12033623577026308,0.05,0.045717860825028454,0.6269788537638523,0.5458253608550184,0.0,0.2033623577026307,SHORT,5.650000095367432,2025-12-26 05:00:00,2025-12-28
125,VCIG,VCI Global Limited Ordinary Share,XNAS,Industrials,Industrials,0.3686527919398688,0.11657606946353749,0.0,0.11607672247633125,0.0,0.136,0.5266468456283839,0.4163431052269196,0.0,0.16076722476331243,LONG,0.6389999985694885,2025-12-26 05:00:00,2025-12-28
126,AXON,"Axon Enterprise, Inc. Common Stock",XNAS,Industrials,"ORDNANCE & ACCESSORIES, (NO VEHICLES/GUIDED MISSILES)",0.36855106538133686,0.11412271332324113,0.0,0.11920858344326984,0.05,0.0852197686148259,0.5265015219733383,0.4075811190115754,0.0,0.1920858344326984,SHORT,583.8400268554688,2025-12-26 05:00:00,2025-12-28
127,VTSI,"VirTra, Inc. Common Stock",XNAS,Industrials,MISCELLANEOUS MANUFACTURING INDUSTRIES,0.3684197760074923,0.09154873169664267,0.0,0.1683437443096922,0.03464524758499277,0.07388205241616468,0.626313965724989,0.32695975605943806,0.0,0.6834374430969221,SHORT,4.380000114440918,2025-12-26 05:00:00,2025-12-28
128,EXPE,"Expedia Group, Inc. Common Stock",XNAS,Industrials,TRANSPORTATION SERVICES,0.3683945972421693,0.14299173773125667,0.0,0.11276816894079625,0.05,0.06263469057011632,0.6262779960602417,0.5106847776116309,0.0,0.1276816894079625,LONG,287.55999755859375,2025-12-26 05:00:00,2025-12-28
129,EHLD,Euroholdings Ltd. Common Stock,XNAS,Industrials,Industrials,0.3682475422168984,0.09891749545152602,0.0,0.16548082175906767,0.05,0.05384922500630473,0.626067917452712,0.35327676946973574,0.0,0.6548082175906766,SHORT,6.820000171661377,2025-12-26 05:00:00,2025-12-28
130,ACMR,"ACM Research, Inc. Class A Common Stock",XNAS,Industrials,"SPECIAL INDUSTRY MACHINERY, NEC",0.36746322181809077,0.09193862435580914,0.0,0.1398233850606035,0.034319273600728964,0.1013819388009492,0.6249474597401296,0.3283522298421755,0.0,0.39823385060603483,LONG,40.619998931884766,2025-12-26 05:00:00,2025-12-28
131,CNDT,Conduent Incorporated Common Stock,XNAS,Industrials,"SERVICES-BUSINESS SERVICES, NEC",0.3667310119456395,0.1920132514256128,0.0,0.12717661318217396,0.02929211659931229,0.01824903073854043,0.5239014456366278,0.6857616122343313,0.0,0.2717661318217395,LONG,1.9299999475479126,2025-12-26 05:00:00,2025-12-28
132,OLB,"The OLB Group, Inc. Common Stock",XNAS,Industrials,"SERVICES-BUSINESS SERVICES, NEC",0.36581593253219113,0.0816385796893551,0.0,0.148177352842836,0.0,0.136,0.6225941893317015,0.2915663560334111,0.0,0.4817735284283599,LONG,0.795799970626831,2025-12-26 05:00:00,2025-12-28
133,QRHC,Quest Resource Holding Corporation,XNAS,Industrials,REFUSE SYSTEMS,0.36548492799068716,0.1324410653733882,0.0,0.119925419990134,0.0,0.11311844262716497,0.5221213257009816,0.4730038049049578,0.0,0.19925419990133988,NEUTRAL,1.9700000286102295,2025-12-26 05:00:00,2025-12-28
