Sector_Rank,Ticker,Name,Exchange,Major_Sector,Detailed_Sector,Total_Score,Trend_Score,MeanReversion_Score,Volume_Score,Volatility_Score,Momentum_Score,Confidence,Trend_Strength,MeanReversion_Strength,Volume_Confirmation,Signal_Type,Current_Price,Timestamp,Analysis_Date
1,SUUN,PowerBank Corporation Common Stock,XNAS,utilities,Utilities,0.4993444383068206,0.11334443830682059,0.0,0.25,0.0,0.136,0.9133491975811723,0.4048015653815021,0.0,1.0,LONG,1.909999966621399,2025-12-26 05:00:00,2025-12-28
2,BNRG,Brenmiller Energy Ltd Ordinary Shares,XNAS,utilities,Utilities,0.4550030098818027,0.1908705356866868,0.0,0.1737474990739531,0.0,0.0903849751211628,0.7500042998311466,0.6816804845953099,0.0,0.7374749907395309,SHORT,0.710099995136261,2025-12-26 05:00:00,2025-12-28
3,RNW,ReNew Energy Global plc Class A Ordinary Shares,XNAS,utilities,Utilities,0.44330323641377445,0.13630244104833186,0.0,0.12157656570313555,0.04942422966230701,0.136,0.7332903377339635,0.4867944323154709,0.0,0.21576565703135536,LONG,5.5,2025-12-26 05:00:00,2025-12-28
4,ENLT,Enlight Renewable Energy Ltd. Ordinary Shares,XNAS,utilities,Utilities,0.39934221607515447,0.0887323537610177,0.0,0.18825853963378522,0.05,0.07235132268035152,0.7704888801073635,0.31690126343220604,0.0,0.8825853963378522,LONG,43.91999816894531,2025-12-26 05:00:00,2025-12-28
5,DGXX,Digi Power X Inc. Subordinate Voting Shares,XNAS,utilities,Utilities,0.3088460655261952,0.06562278085568217,0.0,0.11777124817314837,0.0,0.12545203649736467,0.5412086650374217,0.23436707448457914,0.0,0.17771248173148366,SHORT,2.630000114440918,2025-12-26 05:00:00,2025-12-28
6,HTOO,Fusion Fuel Green PLC Class A Ordinary Shares,XNAS,utilities,Utilities,0.21645664671358242,0.05747508257820585,0.0,0.10098487316599626,0.0,0.05799669096938032,0.3092237810194034,0.20526815206502086,0.0,0.009848731659962607,NEUTRAL,3.9128000736236572,2025-12-26 05:00:00,2025-12-28
