Sector_Rank,Ticker,Name,Exchange,Major_Sector,Detailed_Sector,Total_Score,Trend_Score,MeanReversion_Score,Volume_Score,Volatility_Score,Momentum_Score,Confidence,Trend_Strength,MeanReversion_Strength,Volume_Confirmation,Signal_Type,Current_Price,Timestamp,Analysis_Date
19,BRLS,Borealis Foods Inc. Class A Common Shares,XNAS,Consumer Staples,FOOD AND KINDRED PRODUCTS,0.3661379663529075,0.07029753359049579,0.0,0.17201791849052278,0.0,0.12382251427188896,0.5230542376470106,0.25106261996605633,0.0,0.7201791849052277,LONG,1.6200000047683716,2025-12-26 05:00:00,2025-12-28
20,SMPL,The Simply Good Foods Company Common Stock,XNAS,Consumer Staples,FOOD AND KINDRED PRODUCTS,0.365359914064634,0.11367194777787083,0.0,0.12922616152562094,0.05,0.07246180476114224,0.5219427343780485,0.40597124206382434,0.0,0.2922616152562094,SHORT,19.979999542236328,2025-12-26 05:00:00,2025-12-28
21,DNUT,"Krispy Kreme, Inc. Common Stock",XNAS,Consumer Staples,RETAIL-FOOD STORES,0.35944889746878467,0.17209827144150566,0.0,0.12402082528092444,0.02816535231357943,0.03516444843277515,0.5134984249554067,0.6146366837196631,0.0,0.2402082528092443,NEUTRAL,4.28000020980835,2025-12-26 05:00:00,2025-12-28
22,BRID,Bridgford Foods Corp,XNAS,Consumer Staples,SAUSAGES & OTHER PREPARED MEAT PRODUCTS,0.35218603584691033,0.06730661549395522,0.0,0.20428469914920588,0.04959570583762399,0.0309990153661252,0.7031229083527291,0.24038076962126861,0.0,1.0,SHORT,7.690000057220459,2025-12-26 05:00:00,2025-12-28
23,JBSS,John B. Sanfilippo & SON,XNAS,Consumer Staples,SUGAR & CONFECTIONERY PRODUCTS,0.3496677615200788,0.14232751642886846,0.0,0.12398946556427387,0.05,0.03335077952693644,0.4995253736001125,0.5083125586745302,0.0,0.23989465564273868,NEUTRAL,71.73999786376953,2025-12-26 05:00:00,2025-12-28
24,OLPX,"Olaplex Holdings, Inc. Common Stock",XNAS,Consumer Staples,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS",0.33971830390539115,0.1253438280962041,0.0,0.12524002828252673,0.019388603180443637,0.06974584434621674,0.5853118627219873,0.44765652891501456,0.0,0.2524002828252671,LONG,1.350000023841858,2025-12-26 05:00:00,2025-12-28
25,SLSN,"Solesence, Inc. Common Stock",XNAS,Consumer Staples,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS",0.3335674813720001,0.12418736750007268,0.0,0.1217527752318274,0.0,0.08762733864010004,0.4765249733885715,0.44352631250025953,0.0,0.21752775231827384,LONG,1.809999942779541,2025-12-26 05:00:00,2025-12-28
26,BOF,BranchOut Food Inc. Common Stock,XNAS,Consumer Staples,FOOD AND KINDRED PRODUCTS,0.33286466470364817,0.19022719690893491,0.0,0.12730029329009768,0.0,0.015337174504615591,0.4755209495766402,0.6793828461033389,0.0,0.2730029329009769,NEUTRAL,3.359999895095825,2025-12-26 05:00:00,2025-12-28
27,BNKK,"Bonk, Inc. Common Stock",XNAS,Consumer Staples,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS",0.3285347757998761,0.07923747502817585,0.0,0.12089512735258963,0.0,0.12840217341911064,0.569335393999823,0.2829909822434852,0.0,0.20895127352589626,SHORT,2.990000009536743,2025-12-26 05:00:00,2025-12-28
28,VLGEA,Village Super Market,XNAS,Consumer Staples,RETAIL-GROCERY STORES,0.328148482952437,0.10736592611662588,0.0,0.12276323146722519,0.05,0.04801932536858592,0.46878354707490993,0.3834497361308067,0.0,0.22763231467225184,NEUTRAL,36.02000045776367,2025-12-26 05:00:00,2025-12-28
29,KDP,Keurig Dr Pepper Inc.,XNAS,Consumer Staples,BEVERAGES,0.3276361878018869,0.12445875797160653,0.0,0.11891325234928166,0.05,0.03426417748099876,0.4680516968598384,0.444495564184309,0.0,0.18913252349281653,NEUTRAL,28.100000381469727,2025-12-26 05:00:00,2025-12-28
30,ARKO,ARKO Corp. Common Stock,XNAS,Consumer Staples,RETAIL-CONVENIENCE STORES,0.3257590648526316,0.07630104399173637,0.0,0.11850485999718177,0.05,0.08095316086371349,0.46537009264661655,0.27250372854191557,0.0,0.18504859997181763,NEUTRAL,4.639999866485596,2025-12-26 05:00:00,2025-12-28
31,IMKTA,Ingles Markets Inc,XNAS,Consumer Staples,RETAIL-GROCERY STORES,0.31210630184382027,0.08380483711839427,0.0,0.1281736612229396,0.05,0.05012780350248643,0.5458661454911717,0.29930298970855096,0.0,0.2817366122293961,SHORT,70.26000213623047,2025-12-26 05:00:00,2025-12-28
32,CENTA,Central Garden & Pet Company,XNAS,Consumer Staples,WHOLESALE-MISCELLANEOUS NONDURABLE GOODS,0.30629598707283684,0.09799348145084162,0.0,0.11887004915535063,0.05,0.03943245646664464,0.4375656958183383,0.3499767194672915,0.0,0.1887004915535062,NEUTRAL,29.600000381469727,2025-12-26 05:00:00,2025-12-28
33,XXII,22nd Century Group Inc.,XNAS,Consumer Staples,CIGARETTES,0.30437339593707946,0.08198221838574284,0.0,0.12631093293097226,0.0,0.09608024462036438,0.5348191370529706,0.2927936370919387,0.0,0.2631093293097225,SHORT,0.8748000264167786,2025-12-26 05:00:00,2025-12-28
34,FRPT,"Freshpet, Inc.",XNAS,Consumer Staples,GRAIN MILL PRODUCTS,0.3027474884957184,0.09777811406801135,0.0,0.12109590513299975,0.05,0.03387346929470735,0.43249641213674056,0.3492075502428976,0.0,0.2109590513299975,NEUTRAL,64.16999816894531,2025-12-26 05:00:00,2025-12-28
35,MGPI,MGP Ingredients Inc,XNAS,Consumer Staples,"WHOLESALE-BEER, WINE & DISTILLED ALCOHOLIC BEVERAGES",0.29792923411258854,0.06974558915027622,0.0,0.1208986194630304,0.05,0.05728502549928192,0.42561319158941213,0.24909138982241505,0.0,0.20898619463030405,NEUTRAL,24.190000534057617,2025-12-26 05:00:00,2025-12-28
36,HAIN,Hain Celestial Group Inc,XNAS,Consumer Staples,FOOD AND KINDRED PRODUCTS,0.29514440996898444,0.046547437004420426,0.0,0.133913242469316,0.0,0.114683730495248,0.4216348713842635,0.16624084644435866,0.0,0.33913242469315985,NEUTRAL,1.159999966621399,2025-12-26 05:00:00,2025-12-28
37,WALD,Waldencast plc Class A Ordinary Share,XNAS,Consumer Staples,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS",0.29436124477843717,0.07297369002109999,0.0,0.1176577427966521,0.0,0.10372981196068509,0.5205160639691959,0.2606203215039285,0.0,0.17657742796652093,SHORT,1.9900000095367432,2025-12-26 05:00:00,2025-12-28
38,CENT,Central Garden and Pet Co,XNAS,Consumer Staples,WHOLESALE-MISCELLANEOUS NONDURABLE GOODS,0.29376403503892456,0.08102123803540269,0.0,0.12573687203833017,0.05,0.0370059249651917,0.4196629071984636,0.28936156441215244,0.0,0.25736872038330166,NEUTRAL,32.689998626708984,2025-12-26 05:00:00,2025-12-28
39,SOWG,Sow Good Inc. Common Stock,XNAS,Consumer Staples,FOOD AND KINDRED PRODUCTS,0.2911302624077837,0.04829975478493489,0.0,0.13225283901888557,0.0,0.11057766860396326,0.5159003748682625,0.1724991242319103,0.0,0.3225283901888557,LONG,0.45350000262260437,2025-12-26 05:00:00,2025-12-28
40,MZTI,The Marzetti Company Common Stock,XNAS,Consumer Staples,"CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES",0.28451418710259624,0.06778241624753889,0.0,0.14097024052181004,0.05,0.025761530333247323,0.5064488387179946,0.24208005802692456,0.0,0.40970240521810025,SHORT,165.85000610351562,2025-12-26 05:00:00,2025-12-28
41,JJSF,J&J Snack Foods Corp,XNAS,Consumer Staples,COOKIES & CRACKERS,0.28369393787348207,0.08363544800253214,0.0,0.12383930774252742,0.05,0.026219182128422468,0.40527705410497433,0.2986980285804719,0.0,0.23839307742527416,NEUTRAL,89.86000061035156,2025-12-26 05:00:00,2025-12-28
